TwitterID,words
kelly4southrnil,"hshtg_twill,great,people,day,county,thanks,today,weekend,folks,come,join,time,make,fight,night,town,big,hall,ago,ll"
seanflynnca,"thank,san,ca,today,support,california,great,congress,time,mnton_nrcc,appreciate,vote,community,election,campaign,day,morning,healthcare,work,republican"
maxrose4ny,"thank,support,let,today,need,congress,day,new,campaign,vote,dan,people,ve,time,win,ll,great,veteran,like,going"
courtneytritch,"thank,today,click,join,day,2018,great,tonight,county,make,women,need,new,district,meet,time,honor,people,help,democrats"
flores4congress,"hshtg_txgop,hshtg_tcot,obama,today,texas,american,great,mnton_realdonaldtrump,proud,hshtg_obamacare,tx,thank,tax,americans,mnton_potus,hshtg_txlege,america,families,happy,time"
janzforcongress,"thanks,trump,help,thank,support,need,campaign,let,local,today,join,people,fight,going,make,working,great,office,district,year"
18thil,"18,today,history,trump,county,town,gop,day,2018,political,house,congress,hall,like,tax,people,women,campaign,lincoln,west"
thomasmassieky,"facebook album,photos facebook,album,posted,facebook,county,lincoln day,lincoln,dinner,party,day,photo facebook,new photo,posted new,republican,paul,liberty,thank,gop,saturday"
florida_cd5,"win,ca,state,district,like,mnton_realdonaldtrump,race,story,mnton_youtube,thank,help,san,support,virginia,mnton_foxnews,liberal,children,join,west,campaign"
jerrymcnerney,"help,support,join,sign,need,today,000,great,thanks,campaign,make,san,time,come,day,thank,twitter,let,tomorrow,local"
castro4congress,"texas,facebook album,photos facebook,san,hshtg_txlege,album,posted,tx,trump,today,vote,facebook,thank,great,day,hshtg_demdebate,join,early,campaign,tonight"
rogerwallison,"mnton_foxnews,mnton_realcandaceo,hshtg_ncpol,trump,carolina,illegal,god,people,today,mnton_realdonaldtrump,left,thank,north,democrats,district,mnton_potus,great,time,president,000"
susieleenv,"thank,great,today,support,washington,congress,proud,make,time,vote,work,need,help,join,families,health,thanks,day,hshtg_nv04,women"
markreed1776,"mnton_realdonaldtrump,mnton_foxnews,vote,california,trump,ca,obama,need,hillary,president,time,people,district,mnton_potus,liberal,god,thank,new,real,support"
sewell4congress,"today,great,thanks,women,rep,day,vote,honored,city,tonight,rights,join,ready,morning,district,support,job,proud,election,excited"
anthonybrownmd4,"team,today,great,plan,county,governor,day,thanks,vote,support,new,gt,george,campaign,ad,volunteers,thank,join,office,supporters"
pauldavisks,"thank,tx,hshtg_txlege,today,vote,great,texas,house,congressman,day,rep,morning,good,thanks,congrats,time,work,job,new,let"
marcveasey,"texas,thank,campaign,people,houston,let,support,stand,republican,thanks,fight,congress,family,vote,today,great,public,families,voting,working"
vote4cleaver,"trump,vote,today,mnton_realdonaldtrump,tax,make,country,election,americans,kavanaugh,let,great,day,thank,says,people,hope,new,senate,tonight"
flynndbroadyjr,"hshtg_gapol,georgia,need,people,long,administration,school,help,make,healthcare,support,work,vote,know,day,today,nation,congress,congressional,time"
bradyfortexas,"tax,gt,tax reform,gt gt,reform,mnton_potus,obama,growth,hshtg_obamacare,texas,tax cuts,jobs,cuts,house,tx,america,families,economy,pro,plan"
haydenshamel,"trump,women,hillary,president,clinton,time,people,new,today,health,thank,let,rights,care,make,says,white,america,house,election"
ilhanmn,"thank,today,people,rep,women,proud,support,state,great,time,vote,need,excited,house,like,day,know,congress,work,join"
reschenthaler,"today,judge,great,thanks,day,tonight,thank,night,join,senator,yesterday,big,county,support,meet,republican,good,morning,time,event"
bobrackleff,"florida,hshtg_sayfie,tax,district,health,county,paul,working,cuts,tax cuts,families,day,good,congressional,north,care,help,great,vote,congress"
abraham_ralph,"louisiana,today,great,district,day,enjoyed,early,early voting,campaign,tonight,forum,voting,election,congressional,west,vote,congress,washington,yesterday,race"
lorieb4congress,"thank,join,today,people,early voting,need,vote,day,help,don,texas,campaign,change,early,time,team,election,voting,women,saturday"
